id,name,price
68094714-adaf-4f5f-b57a-fb2c4e4a93f0,name-6809471,15.31
17851426-9ddf-4ef4-af41-d3021e572679,name-17851426,36.15
17851427-060b-4a5a-9470-85c20aef69ed,name-17851427,58.18
17851428-156b-4a68-b6df-43332bd33fd7,name-17851428,98.1
17851429-f863-4ed2-aaae-72467a11dfaf,name-17851429,97.89
17851430-7186-404b-a4ed-28f3ad8a7d95,name-17851430,47.14
17851431-c0d0-41f9-acad-9c08dd809e37,name-17851431,71.3
17851432-f688-4791-b79e-1f84b425637a,name-17851432,24.26
17851433-11f8-4bf1-98a3-295bb6c11f08,name-17851433,34.23
17851434-2e9f-4f20-9087-f402a6977972,name-17851434,80.23
